Rank,Alphagram,Word(s),Removed Anagrams,Length,# Most Frequent in Round,Usefulness Score,Best Single Word,Takes,Valid before 2015?
147,EINOPTU,POUTINE,-,7,2156,15092,POUTINE,s,N
148,ACEINORST,ACTIONERS/CREATIONS/NARCOTISE/REACTIONS,ACTORINES/ANORETICS,9,835,15030,REACTIONS,,Y
149,EGIMOST,EGOTISM,-,7,2138,14966,EGOTISM,,Y
150,ADEILNORT,RODENTIAL,-,9,830,14940,RODENTIAL,,N
151,ADILNOS,ANDISOL/DOLINAS/LADINOS,-,7,2131,14917,ANDISOL,s,Y
152,AEMORST,MAESTRO,AMORETS,7,2130,14910,MAESTRO,s,Y
153,ADEGISTU,GAUDIEST,-,8,1862,14896,GAUDIEST,,Y
154,EINOORST,SNOOTIER,-,8,1849,14792,SNOOTIER,,Y
155,ADEIIRS,AIRSIDE/DAIRIES/DIARIES/DIARISE,-,7,2109,14763,DIARISE,ds,Y
156,ADIORS,AROIDS/RADIOS,-,6,2445,14670,RADIOS,,Y
157,AEORTUW,OUTWEAR,-,7,2094,14658,OUTWEAR,s,Y
158,EEILOPT,PETIOLE,-,7,2094,14658,PETIOLE,s,Y
159,ADEIMORST,AMORTISED/MEDIATORS,-,9,813,14634,MEDIATORS,,Y
160,ADENOPS,DAPSONE,-,7,2090,14630,DAPSONE,,Y
161,ADEILOST,DIASTOLE/ISOLATED/SODALITE,-,8,1825,14600,ISOLATED,,Y
162,ACEGORS,CARGOES/CORSAGE,-,7,2069,14483,CORSAGE,s,Y
163,ADELORT,DELATOR/LEOTARD,-,7,2066,14462,LEOTARD,s,Y
164,AENOTT,NOTATE,-,6,2410,14460,NOTATE,ds,Y
165,ADEINOR,ANEROID,-,7,2059,14413,ANEROID,s,Y
166,EILORSU,LOURIES/LOUSIER,-,7,2056,14392,LOURIES,,Y
167,AEGMNOS,MANGOES,GAMONES/MANGEOS,7,2046,14322,MANGOES,,Y
168,ADEEINRS,ARSENIDE/NEARSIDE,SIDEREAN,8,1783,14264,ARSENIDE,s,Y
169,ADEINOPT,ANTIPODE,-,8,1780,14240,ANTIPODE,s,Y
170,AEEGLOR,AEROGEL,-,7,2031,14217,AEROGEL,s,Y
171,AEGINOR,ROGAINE,-,7,2020,14140,ROGAINE,s,N
172,ADEILRSU,RESIDUAL,-,8,1766,14128,RESIDUAL,s,Y
173,ADEINRSTU,INDURATES,DATURINES,9,783,14094,INDURATES,,Y
174,AAEINRST,ANTISERA/ARTESIAN,-,8,1758,14064,ANTISERA,,Y
175,AEINRTW,TAWNIER/TINWARE,-,7,2005,14035,TINWARE,,Y
176,AEILMOST,LOAMIEST,-,8,1752,14016,LOAMIEST,,Y
177,AAINORS,ARONIAS,-,7,1994,13958,ARONIAS,,N
178,ACEIORT,EROTICA,-,7,1994,13958,EROTICA,,Y
179,DEGIORST,STODGIER,-,8,1742,13936,STODGIER,,Y
180,ACEINOST,ACONITES/CANOEIST/SONICATE,ACETOINS,8,1739,13912,SONICATE,ds,Y
181,EGINOSU,IGNEOUS,-,7,1987,13909,IGNEOUS,,Y
182,AEILNOPS,OPALINES,-,8,1737,13896,OPALINES,,N
183,ADEPRTU,UPRATED,-,7,1979,13853,UPRATED,,Y
184,AIMORST,AMORIST,MORITAS,7,1972,13804,AMORIST,s,Y
185,DEIMNOR,MINORED,-,7,1964,13748,MINORED,,Y
186,DEEILORT,DOLERITE/LOITERED,-,8,1717,13736,DOLERITE,,Y
187,ACEGIST,CAGIEST,-,7,1959,13713,CAGIEST,,Y
188,ADENOOT,ODONATE,-,7,1957,13699,ODONATE,s,Y
189,AEIOPS,SOAPIE,-,6,2277,13662,SOAPIE,rs,N
190,DEEMOST,DEMOTES,-,7,1951,13657,DEMOTES,,Y
191,AENOSTV,NOVATES,-,7,1945,13615,NOVATES,,Y
192,ADELORU,ROULADE,-,7,1941,13587,ROULADE,s,Y
193,ADEGINOR,ORGANDIE,-,8,1696,13568,ORGANDIE,s,Y
194,AILNRSU,INSULAR/URINALS,-,7,1932,13524,INSULAR,,Y
195,AEILOPRT,EPILATOR/PETIOLAR,PELOTARI,8,1686,13488,EPILATOR,s,Y
196,AEIMRTU,MURIATE,-,7,1923,13461,MURIATE,s,Y
197,AEGILNOT,GELATION/LEGATION,-,8,1677,13416,LEGATION,s,Y
198,ADINORSU,DINOSAUR,-,8,1674,13392,DINOSAUR,s,Y
199,ADEIMOW,MIAOWED,-,7,1913,13391,MIAOWED,,Y
